Seed     Revenue  Train score1         Train score2         Train score3         Winning score1       Winning score2       Winning score3      
0        477089   0.7683704997761626   0.7696551724137931   10.761012284641774   0.729247562203897    0.753731343283582    3.2784570370475072  
10       550219   0.7669896582735051   0.7724137931034483   10.892296202945227   0.733321823259969    0.7649253731343284   5.124910443843857   
20       747474   0.7538630357441948   0.7172413793103448   11.246410920639024   0.7318061173056531   0.7313432835820896   4.506641760066418   
30       541321   0.761316633459572    0.7558620689655172   10.876322398691649   0.729742547872243    0.75                 1.692232478383013   
40       1025232  0.7576426121242531   0.743448275862069    11.745045661239738   0.7369989841441815   0.7649253731343284   2.81694425598039    
50       787823   0.75838567027591     0.7393103448275862   11.318845965348801   0.7332434154667518   0.7611940298507462   0.37533607781704253 
60       648903   0.7634727855274409   0.7544827586206897   11.069454991320146   0.7321554849403296   0.7611940298507462   1.0955856318059962  
70       682796   0.7641837211784162   0.7517241379310344   11.130300141642296   0.7351521747127804   0.7649253731343284   5.4479851530017696  
80       648874   0.7662937644112551   0.7558620689655172   11.069402930146472   0.7344150773644375   0.7649253731343284   5.193852734581766   
90       453401   0.7690555234764683   0.7724137931034483   10.718487281814314   0.7329365626957126   0.7649253731343284   6.4035349534613974  
100      796139   0.7669896582735051   0.7613793103448275   11.333774955703122   0.7371225765814918   0.7686567164179104   3.123253581712823   
110      463510   0.7690555234764683   0.7682758620689655   10.736635088872013   0.7334148273420348   0.7649253731343284   8.78108651054496    
120      467632   0.7757164568865451   0.8068965517241379   10.744034956385303   0.7349368404158387   0.7686567164179104   4.992664848611986   
130      615360   0.7669896582735051   0.7737931034482759   11.009238165507856   0.7304927042900264   0.753731343283582    4.776213647649762   
140      573063   0.7730924116120533   0.7931034482758621   10.933306046097476   0.7353416480080992   0.7686567164179104   4.255553451311295   
150      425118   0.7717604980484295   0.783448275862069    10.667713275778809   0.732714279114431    0.7649253731343284   4.853072838704211   
160      263676   0.7576426121242531   0.7586206896551724   10.377890517146977   0.7229832742597818   0.7238805970149254   5.368765343172564   
170      615975   0.7627579872741399   0.7475862068965518   11.010342221432328   0.7323583083348888   0.7611940298507462   4.678306495386286   
180      613502   0.7669896582735051   0.7572413793103449   11.005902659966932   0.7340546275883391   0.7649253731343284   4.9093995876935805  
190      526448   0.7523202693497014   0.7241379310344828   10.849622197448284   0.7281219505904754   0.7164179104477612   1.8369266837802145  
200      652781   0.7627579872741399   0.7296551724137931   11.076416826889417   0.7341771624864943   0.7649253731343284   8.29896612783458    
210      565358   0.7704149625084683   0.783448275862069    10.919473930816086   0.7319052208506944   0.7574626865671642   4.739040735412792   
220      333790   0.7690555234764683   0.7793103448275862   10.503760073388303   0.732005504135907    0.7649253731343284   3.6385221494985815  
230      379988   0.7676818906187041   0.7862068965517242   10.586695318264317   0.7298602736301286   0.753731343283582    6.936386099947456   
240      579472   0.7627579872741399   0.7503448275862069   10.944811565479492   0.7314414808745369   0.753731343283582    -0.451212763663804  
250      377157   0.7717604980484295   0.7986206896551724   10.581613070585975   0.7321639061632123   0.7649253731343284   3.675265777927776   
260      417295   0.7704149625084683   0.7917241379310345   10.65366932537695    0.7324295685267862   0.7649253731343284   4.398940367489573   
270      548565   0.7620392842171202   0.7531034482758621   10.889326920832907   0.7317252925952734   0.7611940298507462   5.19179798911008    
280      478037   0.7648908357479933   0.7710344827586207   10.762714146457057   0.7312758165647746   0.753731343283582    2.0937690656828476  
290      692055   0.7662937644112551   0.7641379310344828   11.146922017747475   0.7342061761276019   0.7649253731343284   4.310758793072665   
