Seed     Revenue  Train score1         Train score2         Train score3         Winning score1       Winning score2       Winning score3      
0        3592167  0.7474433578025833   0.7643908969210174   5.7055284449980475   0.743275090773058    0.8576512455516014   1.8504516147769516  
10       3480005  0.7464612325675337   0.7590361445783133   5.46085281548654     0.740259716089707    0.8505338078291815   6.565471639030287   
20       3525018  0.7464612325675337   0.7550200803212851   5.559046357962615    0.7404354872601449   0.8505338078291815   3.007722317424436   
30       3568891  0.7444747098012705   0.7483266398929049   5.654753049119677    0.7436592621820897   0.8576512455516014   1.151734935372292   
40       3569888  0.753186951900765    0.7764390896921017   5.65692795329955     0.7437748297959358   0.8576512455516014   3.32983732252704    
50       3384299  0.7522469306209536   0.7737617135207496   5.252075102909834    0.7419935058577127   0.8576512455516014   1.731997900504023   
60       3845908  0.7522469306209536   0.7657295850066934   6.259051375294223    0.7431114701477615   0.8576512455516014   4.102313270485859   
70       3498980  0.7464612325675337   0.7563587684069611   5.502245801256951    0.7399383994156236   0.8505338078291815   4.225772941244842   
80       3640530  0.7484182057271751   0.7670682730923695   5.811029840034379    0.7442726510047741   0.8576512455516014   4.5818896140001755  
90       3392528  0.7541203043398421   0.7643908969210174   5.270026242825761    0.7423380036223458   0.8576512455516014   1.3860044983996078  
100      3794283  0.7393730724196131   0.7309236947791165   6.146434095167874    0.7451638796988762   0.8576512455516014   0.4213527011299518  
110      3401911  0.753186951900765    0.7925033467202142   5.290494774340058    0.7424107946806272   0.8576512455516014   2.2218423387358537  
120      3566997  0.7444747098012705   0.7376171352074966   5.6506213856124745   0.7437614531053829   0.8576512455516014   1.436196417379644   
130      3445550  0.7604746944904952   0.8085676037483266   5.385691006542164    0.7439473445732945   0.8647686832740213   4.69455730519365    
140      3369040  0.7513001445159124   0.7724230254350736   5.218788379859995    0.741941673907955    0.8576512455516014   3.9902110165593374  
150      3585600  0.7474433578025833   0.7751004016064257   5.691202872531418    0.7439077155830051   0.8576512455516014   2.7786086893079927  
160      3787287  0.7424577313521341   0.7389558232931727   6.131172681283826    0.74488893327104     0.8576512455516014   2.197018589710606   
170      3358824  0.7503464955138623   0.7925033467202142   5.196502701723999    0.7415587553395661   0.8576512455516014   3.3164615924840373  
180      3570401  0.7484182057271751   0.7724230254350736   5.658047036393106    0.7439010202599764   0.8576512455516014   1.9142056729310144  
190      3167003  0.753186951900765    0.7670682730923695   4.778055064123679    0.7393834425805513   0.8505338078291815   2.665407986111111   
200      3433323  0.753186951900765    0.7643908969210174   5.359018435421489    0.7430991117982798   0.8576512455516014   -0.1373184543879112 
210      3381346  0.7522469306209536   0.8005354752342704   5.245633285414181    0.7423843205117494   0.8576512455516014   4.9980312547325605  
220      3398467  0.7550470818942108   0.7791164658634538   5.2829818656184075   0.7414648436789284   0.8576512455516014   2.628789126558438   
230      3253608  0.7595854998522878   0.785809906291834    4.966979413670265    0.7409401824387394   0.8576512455516014   6.184974643909189   
240      3452946  0.7595854998522878   0.7925033467202142   5.401824999836391    0.7437106102923505   0.8647686832740213   4.908019688758515   
250      3584561  0.7484182057271751   0.751004016064257    5.688936347513476    0.7435409352252514   0.8576512455516014   6.739605235396402   
260      3743759  0.7484182057271751   0.7791164658634538   6.036218589868044    0.7459098423186132   0.8647686832740213   5.839298225339294   
270      3489079  0.7522469306209536   0.7697456492637216   5.480647279406472    0.7422293651727065   0.8576512455516014   2.4256902276869     
280      3494802  0.7595854998522878   0.8032128514056225   5.4931317093176215   0.7443621966694579   0.8647686832740213   0.5688578301556823  
290      3563999  0.7434700857897345   0.7362784471218207   5.644081402933176    0.7405387675628463   0.8505338078291815   1.8545979989345165  
