round bids     cpc                  cpm                  ctr                     revenue  imps     clks     auc                  rmse                 roi                  cost    
1     250550   314.1171445783133    104.12528955061744   0.0003314855344505328   -2001723 250388   83       0.5565047864083867   0.019127904355771014 -0.07677754937792182 26071723
1     206295   324.83377358490566   83.45544180094235    0.00025691737924883173  -1793190 206292   53       0.5174166160910438   0.019020522467253498 -0.10415719157374541 17216190
2     250550   305.9270481927711    102.68706905267415   0.00033565867960772417  -1321945 247275   83       0.5583726225916013   0.018480416190752122 -0.05206158882275462 25391945
2     206295   323.81120754716983   83.28315895723742    0.00025719665353184383  -1738994 206068   53       0.5172767364515729   0.017049104411842056 -0.10132820230562951 17161994
3     250550   307.25640506329114   100.43427133890262   0.00032687445951928764  -1363256 241683   79       0.5598310067637028   0.018340555041579342 -0.056162881485697674 24273256
3     206295   320.7033962264151    82.77304867834115    0.00025809844751348927  -1574280 205348   53       0.5172502974615093   0.016571036435993083 -0.09261952500635395 16997280
4     250550   297.53160256410257   98.34505042800237    0.00033053648614289345  -587465  235980   78       0.5611604270211197   0.01828708190925715  -0.025313622147011747 23207465
4     206295   316.5079811320755    82.09680860955997    0.0002593830598391825   -1351923 204331   53       0.5172647519958693   0.016378139977920987 -0.08059190495241021 16774923
5     250550   301.1419594594595    96.54118416663418    0.00032058363550507087  -824505  230829   74       0.5624547802536188   0.01826069461645704  -0.03699902690232518 22284505
5     206295   312.1720943396227    81.4096185166779     0.00026078441985307507  -1122121 203233   53       0.5172906420795647   0.016279499045914417 -0.06782186724412592 16545121
6     250550   290.56594594594594   95.00528006433284    0.00032696632688679453  -41880   226323   74       0.5636686092066766   0.01824561718638163  -0.0019477366630266748 21501880
6     206295   313.5349038461539    80.69677486413447    0.0002573773250576624   -1171815 202038   52       0.5173149769285506   0.016221559834449957 -0.07187366883149741 16303815
7     250550   281.8922297297297    93.73901848265201    0.00033253494987260315  599975   222533   74       0.5648477559581353   0.018236140024003977 0.02876195018941732  20860025
7     206295   315.3141960784314    80.03734838417472    0.0002538336344497036   -1240024 200919   51       0.5173279677125955   0.016184277821912618 -0.07711100984613915 16081024
8     250550   281.9051666666667    92.5906739533059     0.0003284461758829272   582828   219214   72       0.5660031398696632   0.018229771077710132 0.028714739176472465 20297172
8     206295   311.2740980392157    79.42533008460373    0.0002551620278877087   -1033979 199873   51       0.517372063190833    0.01615868642266807  -0.06513262159275927 15874979
9     250550   286.86871014492755   91.51913242895849    0.0003190279357505479   216059   216282   69       0.5671412548347639   0.018225274758098504 0.010915410933072904 19793941
9     206295   313.97232            78.90853342850106    0.0002513232167361157   -1148616 198947   50       0.5174393042209253   0.01614025250315496  -0.07316670463179684 15698616
10    250550   280.592768115942     90.57731461988304    0.00032280701754385964  649099   213750   69       0.5682679694090476   0.018221978795437254 0.03352628062092771  19360901
10    206295   310.77562            78.43353321824807    0.00025237994286118095  -988781  198114   50       0.5175079175169379   0.016126469434816135 -0.06363311253308737 15538781
11    250550   283.7104925373134    89.81107105565293    0.0003165588634119376   421397   211651   67       0.5693722199221012   0.01821949051494231  0.02216875169627142  19008603
11    206295   307.98316            78.01940458819715    0.0002533236057068742   -849158  197376   50       0.517589064175022    0.016115852672113216 -0.05514314483947759 15399158
12    250550   278.8750298507463    89.08131185994623    0.00031943093617102427  745373   209748   67       0.570461750943214    0.01821756731896505  0.03989231361161237  18684627
12    206295   311.65238775510204   77.63701022384683    0.0002491141196866246   -1011967 196697   49       0.5176587752837709   0.01610747389290069  -0.06626738175781534 15270967
13    250550   279.0558939393939    88.47257102231787    0.0003170424740841796   722311   208174   66       0.5715475299369693   0.018216052344864654 0.03921832972638424  18417689
13    206295   315.618              77.26936749922218    0.00024481926727633465  -1181664 196063   48       0.5177649886659983   0.016100726403983082 -0.07799935364903142 15149664
14    250550   275.5225606060606    87.93018094252585    0.0003191396767985455   955511   206806   66       0.5726294606975375   0.018214840261943473 0.05254538634547278  18184489
14    206295   313.5445416666667    76.96941708347397    0.0002454816042222836   -1082138 195534   48       0.5178779718934324   0.01609519894329025  -0.07190219784031217 15050138
15    250550   276.6781384615385    87.46311868066667    0.00031611864662312337  865921   205619   65       0.5736578048109745   0.018213858051830394 0.048149310287171225 17984079
15    206295   318.14242553191485   76.66947310129828    0.0002409910371844043   -1275694 195028   47       0.5179897658237356   0.016090604008670885 -0.08531532846188118 14952694
16    250550   274.1637692307693    87.08928527794747    0.00031765424557116676  1029355  204625   65       0.5747037064883279   0.018213053695553982 0.0577619384708017   17820645
16    206295   316.1573191489362    76.37984846771458    0.0002415881076968943   -1182394 194546   47       0.518121411867685    0.01608673526260182  -0.07957215482677153 14859394
17    250550   272.0092153846154    86.75891358751656    0.0003189557878207959   1169401  203790   65       0.5757097308492796   0.01821238924709711  0.06614034965670564  17680599
17    206295   314.3811063829787    76.11623558259454    0.00024211453562947204  -1098912 194123   47       0.5182934940140846   0.016083441220562905 -0.07437185603162769 14775912
18    250550   270.0404307692308    86.46359220909727    0.0003201875806626405   1297372  203006   65       0.5767153222839976   0.018211836446523556 0.073913262447082    17552628
18    206295   312.6824680851064    75.86050329074719    0.0002426119499290231   -1019076 193725   47       0.5184305376373204   0.01608060844847723  -0.06934340840371267 14696076
19    250550   268.4051692307692    86.21222049267413    0.00032120178884688556  1403664  202365   65       0.5776922924843861   0.01821137385851264  0.08045609118155239  17446336
19    206295   311.06540425531915   75.61181648453379    0.0002430736927031346   -943074  193357   47       0.5186028027525093   0.01607815051740939  -0.06450541905601846 14620074
20    250550   267.13007692307696   86.0211492635657     0.0003220197076061055   1486545  201851   65       0.5786967775520628   0.018210984957013763 0.08561343350156982  17363455
20    206295   316.1289130434783    75.35225353134425    0.00023835925922087613  -1155930 192986   46       0.518797938966369    0.016076000555685782 -0.07948944878705921 14541930
