round bids     cpc                  cpm                  ctr                     revenue  imps     clks     auc                  rmse                 roi                  cost    
1     417197   323.3215967741936    99.88285179713445    0.0003089272501239446   -5743878 401389   124      0.5162133791084296   0.017828436118722944 -0.1432678708640189  40091878
2     417197   309.4505135135135    92.81307959188085    0.0002999286656146646   -3602007 370088   111      0.5195484639896448   0.017701995447603286 -0.10486495286457626 34349007
3     417197   299.7288118811881    87.34138101159546    0.00029140135198686673  -2295610 346601   101      0.522953746040804    0.017676322551179662 -0.07583125472167745 30272610
4     417197   282.23259793814435   83.13209277467706    0.00029455170445228567  -507562  329314   97       0.5263157957834114   0.01766679270050865  -0.01854001974389626 27376562
5     417197   279.1379888888889    79.65231245303598    0.0002853510293245741   -192419  315401   90       0.5296492022772212   0.017662176219316632 -0.007659254469085958 25122419
6     417197   272.4724534883721    76.87290985260299    0.0002821309415628086   389369   304823   86       0.5329099770171588   0.01765957154427619  0.01661652931759989  23432631
7     417197   261.5331294117647    74.82964463997791    0.00028611918042002293  1314684  297079   85       0.5360846744601633   0.017657948498922698 0.059139240305895784 22230316
8     417197   254.79790476190476   73.37970000857118    0.00028799177166366675  1864976  291675   84       0.5392764508783038   0.017656863656626363 0.08713609815136403  21403024
9     417197   260.2389375          72.33380237648531    0.0002779514974636926   1340885  287820   80       0.5424840520919808   0.0176560994676722   0.0644064361045126   20819115
10    417197   258.2877848101266    71.59078868426316    0.0002771745041558633   1478265  285019   79       0.5456488636487294   0.01765553853946724  0.0724471550353386   20404735
11    417197   257.41076923076923   71.00233396987058    0.00027583280288563547  1527960  282780   78       0.5487635817967635   0.017655112767116277 0.07610105368850745  20078040
12    417197   257.7615844155844    70.58420077456249    0.0002738352223221938   1481358  281191   77       0.5517611817027739   0.01765478033134212  0.0746364731891073   19847642
13    417197   255.62475324675324   70.27196098522309    0.00027490280222349954  1645894  280099   77       0.5546987469823609   0.01765451436008798  0.08361962791847993  19683106
14    417197   254.32309090909092   70.08176674575652    0.0002755619495471121   1746122  279429   77       0.5575282683782038   0.017654296938373823 0.08916574979428459  19582878
15    417197   253.37198701298703   69.93906837018555    0.00027603315265708794  1819357  278952   77       0.560251516496796    0.01765411575746289  0.09325424355535362  19509643
16    417197   252.94376623376624   69.86995795606194    0.00027622723815810243  1852330  278756   77       0.5629114838770601   0.017653962147951993 0.09510506672855268  19476670
17    417197   252.8245974025974    69.85483251699948    0.0002762976119992106   1861506  278685   77       0.5654787157422225   0.0176538298766413   0.09562124431629464  19467494
18    417197   246.3427341772152    69.85085191074229    0.00028355150048993394  2421924  278609   79       0.567956107771653    0.01765371438390997  0.12444964502476635  19461076
19    417197   249.67420512820513   69.87677745524742    0.00027987183305286346  2131412  278699   78       0.5703142236323956   0.017653612285124607 0.10944580701784294  19474588
20    417197   249.9417692307692    69.91729188483554    0.0002797343241188369   2110542  278836   78       0.5726602034611299   0.017653521035791462 0.10825813889573664  19495458
